sample_size,measure,perturbation,lambda,mean_median_rho,sd_median_rho,mean_exceedance_rate,sd_exceedance_rate,mean_median_discrepancy
100,TV,scale,0.8,1.1349560152163578,0.009517802827738155,0.8378,0.019469634476966067,0.40750000000000003
100,TV,scale,1.0,1.2255349500713268,0.010475765271441102,0.9549999999999998,0.007902179727419804,0.44000000000000006
100,W1,contamination,0.0,0.543065822921016,0.013970019631071336,0.0502,0.012236557250032924,0.1627657937085681
100,W1,contamination,0.05,0.7865045382490008,0.01438793890737849,0.2433,0.030419474756222285,0.2357492809206272
100,W1,contamination,0.1,1.1684975498042736,0.03764026354154553,0.6675,0.03952847075210472,0.35014795521576164
100,W1,contamination,0.2,2.0908498803410636,0.038876868537553386,0.9919,0.002923088169119177,0.6266768902875244
100,W1,contamination,0.3,3.05741740010697,0.047712185064622575,1.0,0.0,0.9164113703606576
100,W1,contamination,0.4,4.069171427836156,0.09819823130733493,1.0,0.0,1.2194368367659758
100,W1,contamination,0.5,5.012739118411011,0.09037393034675524,1.0,0.0,1.5023857248738697
100,W1,contamination,0.6,6.008352566344068,0.13474356764313533,1.0,0.0,1.8006073840768964
100,W1,contamination,0.8,8.018290300891724,0.1572314476648513,1.0,0.0,2.403081718546861
100,W1,contamination,1.0,10.013583964038132,0.20487046513349227,1.0,0.0,3.0010211273312732
100,W1,location,0.0,0.5460592466415874,0.01475298255938704,0.0495,0.011443095929181248,0.1636608529835549
100,W1,location,0.05,0.5566788624825509,0.013104566197731544,0.0606,0.014237665226823923,0.1668375253539301
100,W1,location,0.1,0.6043806664212731,0.018531475019459676,0.10500000000000001,0.021913973218524806,0.18112287682587463
100,W1,location,0.2,0.7631786095144321,0.02806729828774506,0.2752,0.026984769366770182,0.2287202646758882
100,W1,location,0.3,1.055399466657585,0.03942224213596801,0.5448000000000001,0.031001075250169405,0.3162351692246911
100,W1,location,0.4,1.3593967020432882,0.03827575322432933,0.7844,0.026596574549700533,0.4073717589404833
100,W1,location,0.5,1.678604158274198,0.032837922880380344,0.9345000000000001,0.014630637564903131,0.5031199785866263
100,W1,location,0.6,2.014739316032818,0.03902209780457628,0.9863,0.0038887301554906693,0.6038535548049304
100,W1,location,0.8,2.6634474057973287,0.0646798415151924,1.0,0.0,0.7981771009014895
100,W1,location,1.0,3.334819580610786,0.06330754806379951,1.0,0.0,0.999478129943858
100,W1,scale,0.0,0.5489159776310728,0.015926213645250025,0.0523,0.0077179444586409586,0.1645144881823165
100,W1,scale,0.05,0.5718665791382991,0.019849778907509722,0.066,0.01087300428686673,0.17138864855120958
100,W1,scale,0.1,0.6307233346939223,0.022994806756782428,0.0869,0.01605857334191857,0.1890054252209074
100,W1,scale,0.2,0.770071564454583,0.01588741036715237,0.2166,0.02381502793522517,0.2308181071422432
100,W1,scale,0.3,0.9852423339618239,0.026988986462442792,0.48129999999999995,0.03487772291242012,0.29527659548090934
100,W1,scale,0.4,1.2140572224467991,0.03463061124967698,0.7466,0.04238500783164831,0.3638271158034379
100,W1,scale,0.5,1.4491550448625405,0.03100567991711247,0.9085000000000001,0.013898441159592935,0.43430667159883063
100,W1,scale,0.6,1.7021577594741628,0.03971149984076984,0.9765,0.008154753215150051,0.5101198490404919
