seed,sample_size,measure,perturbation,lambda,median_discrepancy,mean_discrepancy,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate,n_repetitions
20260834,100,JS,contamination,0.05,0.09954122682223195,0.10112698327524107,0.798245234732379,0.8109618002446892,0.49651466152815815,1.1753964712232197,0.132,500
20260834,100,JS,contamination,0.1,0.11734972566972311,0.11719345729139724,0.9410559052109945,0.9398027511931044,0.6164240495315034,1.2954091127364062,0.36,500
20260834,100,JS,contamination,0.2,0.1484910852116484,0.15068387734772673,1.1907860185621548,1.2083705504115476,0.8553229865577595,1.6436596195773743,0.84,500
20260834,100,JS,contamination,0.3,0.1860443534138126,0.18769753012025434,1.491934782225066,1.5051920070977753,1.0804201824707378,1.9844821126324899,0.992,500
20260834,100,JS,contamination,0.4,0.2293367431328242,0.23073927949229925,1.839106952958848,1.850354232113738,1.3814170723349115,2.359557268161642,1.0,500
20260834,100,JS,contamination,0.5,0.2790115061773675,0.2776086932855083,2.237460922993609,2.226211426258477,1.734343564860644,2.7515128856097717,1.0,500
20260834,100,JS,contamination,0.6,0.33241911531147794,0.33409861183331635,2.665749490964438,2.679217780818865,2.10446043742592,3.2599414975469827,1.0,500
20260834,100,JS,contamination,0.8,0.4621329016216318,0.4625321641957804,3.7059557964994285,3.709157579895069,3.114851383249255,4.359521573273007,1.0,500
20260834,100,JS,contamination,1.0,0.6568033601200054,0.654962886030285,5.267065407063195,5.252306199057939,4.893857966187209,5.558515315852865,1.0,500
20260834,100,JS,location,0.0,0.08573826350417452,0.08732913051623549,0.6875559249300979,0.7003134732546579,0.42337919118023454,1.0406367915957784,0.042,500
20260834,100,JS,location,0.05,0.08790344715609047,0.08957549354914397,0.7049190576504627,0.71832760311565,0.4213849195675387,1.0589453864850393,0.056,500
20260834,100,JS,location,0.1,0.08947552904303757,0.09010460104324039,0.7175259635017008,0.7225706444092634,0.43955010321500443,1.0397521429811107,0.048,500
20260834,100,JS,location,0.2,0.09071804748608074,0.09282032908332385,0.7274900201834373,0.7443487260748346,0.4554019619850583,1.1115628641072943,0.076,500
20260834,100,JS,location,0.3,0.09722083584026064,0.09864468852635425,0.7796374567974893,0.7910556767443352,0.4725933805090973,1.1396962180143757,0.134,500
20260834,100,JS,location,0.4,0.10462169165040605,0.10635850030490789,0.8389867141051214,0.8529146038484735,0.5363149034468582,1.2322018528144278,0.198,500
20260834,100,JS,location,0.5,0.11436226029698249,0.11572581579153494,0.9170986959837362,0.928033378130697,0.5890042473179739,1.3895645763198228,0.346,500
20260834,100,JS,location,0.6,0.12578667020777826,0.1281018665589892,1.0087138092594476,1.0272799301906714,0.6486017433576405,1.4748687875165956,0.514,500
20260834,100,JS,location,0.8,0.15664608314683506,0.15773193650521347,1.2561829244355436,1.264890645815065,0.8410964997734369,1.6945496881811972,0.874,500
20260834,100,JS,location,1.0,0.1893130552428123,0.18906706660775902,1.5181472947895311,1.5161746522774966,1.039185478131784,2.042913081699916,0.986,500
20260834,100,JS,scale,0.0,0.0858967074757504,0.0876643331915625,0.6888265255577997,0.7030015447883469,0.4307728423773571,1.080823343984432,0.054,500
20260834,100,JS,scale,0.05,0.08914596225591132,0.09004121441861872,0.7148830875220887,0.7220623316963773,0.4191020393605658,1.0759570614191505,0.06,500
20260834,100,JS,scale,0.1,0.09190770122972969,0.09298274798614199,0.7370301420220522,0.7456512026400128,0.4603786930510464,1.1037022575221933,0.068,500
20260834,100,JS,scale,0.2,0.10071254427178838,0.10128411694776503,0.8076383133824654,0.8122218932665711,0.5154002883451134,1.135656254773456,0.134,500
20260834,100,JS,scale,0.3,0.10819443828487312,0.11020162987413126,0.8676374356896832,0.8837335917495397,0.5429970522171256,1.2701279091278044,0.24,500
20260834,100,JS,scale,0.4,0.11996078184163347,0.12160400371773265,0.9619945977847583,0.9751719924590946,0.6436512210502823,1.3885479273760823,0.44,500
20260834,100,JS,scale,0.5,0.13201948850519682,0.13347435983744366,1.0586962905257518,1.0703632565175294,0.712969147324392,1.4881372370540276,0.6,500
20260834,100,JS,scale,0.6,0.14005350105125414,0.14099043937494796,1.123122985227068,1.1306365208344038,0.7608057156085596,1.5292658215080246,0.72,500
20260834,100,JS,scale,0.8,0.16434700922797962,0.16445900955090142,1.3179385180076233,1.3188366757550707,0.8915967458506242,1.795577854774193,0.912,500
20260834,100,JS,scale,1.0,0.18810057705139033,0.18833953139221934,1.5084241381697319,1.5103403709707,0.9839983922303039,2.0099827023235255,0.966,500
20260834,100,MMD2,contamination,0.0,0.006402364674674699,0.008416737417412928,0.2672694816043822,0.3513603427262533,0.04113104024461891,1.2397801975519456,0.05,500
20260834,100,MMD2,contamination,0.05,0.010007703619289487,0.012607343139756642,0.41777591472696046,0.5262989905432913,0.08811545592694273,1.5241472335237065,0.106,500
20260834,100,MMD2,contamination,0.1,0.017774415667302756,0.020804966862895125,0.7420006673490823,0.8685123373614856,0.1887441533738325,2.0974434185506716,0.354,500
20260834,100,MMD2,contamination,0.2,0.057101019403878794,0.0605137674911177,2.383706744404071,2.5261733889128877,0.8596084670356322,4.919637346460468,0.954,500
20260834,100,MMD2,contamination,0.3,0.11114395820546186,0.11735463188472418,4.639752591809717,4.899019849927088,2.2971592927127387,8.784104644617825,1.0,500
20260834,100,MMD2,contamination,0.4,0.19610510178566903,0.20232196401670635,8.18649226613969,8.446017868026718,4.685813037080113,13.8654074574875,1.0,500
20260834,100,MMD2,contamination,0.5,0.3029275817375049,0.30719136169619027,12.645842879727208,12.823836217679471,7.560908366999636,18.740652121503793,1.0,500
20260834,100,MMD2,contamination,0.6,0.4391482619888102,0.4454205809097324,18.332434076035867,18.594274741420552,12.272999092155727,26.19877047087581,1.0,500
20260834,100,MMD2,contamination,0.8,0.7788090128355365,0.7810214033455221,32.511718982947585,32.6040761813823,24.914545731504727,41.095566442482074,1.0,500
20260834,100,MMD2,contamination,1.0,1.211955860954089,1.2096639124928936,50.59362144207293,50.497943062565625,45.86057980499273,54.76278951978081,1.0,500
20260834,100,MMD2,location,0.0,0.006175693557184725,0.008866413175465934,0.25780699779650545,0.3701322516773771,0.029428804136919035,1.3790119773261975,0.06,500
20260834,100,MMD2,location,0.05,0.0065783773627883235,0.009748999492094713,0.27461720737420686,0.4069761990784958,0.03883953184723551,1.4381479424131398,0.068,500
20260834,100,MMD2,location,0.1,0.007519218960571616,0.010557876785486175,0.3138930466755906,0.4407431314342003,0.04173703672718478,1.5351584996985088,0.086,500
20260834,100,MMD2,location,0.2,0.011014007022597805,0.01636726292438401,0.4597844854044195,0.6832584676699948,0.05523990911975701,2.4763932091171292,0.242,500
20260834,100,MMD2,location,0.3,0.021825569650777976,0.026157924398457138,0.9111178420307892,1.0919738642000238,0.10482052441292507,3.17297329857007,0.468,500
20260834,100,MMD2,location,0.4,0.03424139996139408,0.038803387782967116,1.4294220467151226,1.6198642008430084,0.19360501789555923,4.167305580784771,0.688,500
20260834,100,MMD2,location,0.5,0.050683953980253715,0.05449734760397933,2.1158235736784325,2.275015339339358,0.5109924325988422,5.079985096247817,0.858,500
20260834,100,MMD2,location,0.6,0.0694162974497079,0.07473856352375464,2.8978133513179944,3.119993649825177,0.7929010392205394,6.366552582644414,0.962,500
20260834,100,MMD2,location,0.8,0.12212153793244901,0.12375016567795136,5.098016404008405,5.166004173431901,2.1441156531708634,9.028696605426779,0.998,500
20260834,100,MMD2,location,1.0,0.18544880012711618,0.18660221865505294,7.741640345822287,7.7897903009871285,3.5804719012972046,12.505450252032205,1.0,500
20260834,100,MMD2,scale,0.0,0.007049381926755971,0.008929901302797916,0.2942794965504052,0.3727825910039032,0.04556065783973733,1.164003880304586,0.054,500
20260834,100,MMD2,scale,0.05,0.007285718434469346,0.009527961234191914,0.3041454662522878,0.39774886142962645,0.04337910905464803,1.3548268724470915,0.062,500
20260834,100,MMD2,scale,0.1,0.00865336370861236,0.01096116218873694,0.36123840956505826,0.45757845496580185,0.049526461153743755,1.466848521462289,0.094,500
20260834,100,MMD2,scale,0.2,0.012139622756937585,0.01566023542015032,0.506773800929158,0.6537432988005831,0.07591643160494528,1.992159504054049,0.196,500
20260834,100,MMD2,scale,0.3,0.020567374644731018,0.023783161812103378,0.858593947483892,0.992838373230744,0.15804020267721383,2.620554555476096,0.414,500
20260834,100,MMD2,scale,0.4,0.029042315837898236,0.03294817104115794,1.2123840319952082,1.3754356462724036,0.27333491792209846,3.296391632397837,0.63,500
20260834,100,MMD2,scale,0.5,0.04161047328535156,0.044778394441921235,1.7370471988701532,1.8692934372996992,0.5725519778107462,3.8070478436812483,0.808,500
20260834,100,MMD2,scale,0.6,0.0514811419870817,0.05525498727534265,2.1491025317123205,2.306643335009329,0.7314345339374824,4.458185642985825,0.912,500
20260834,100,MMD2,scale,0.8,0.07827786974130352,0.07942302643394154,3.2677435182050996,3.3155485794831345,1.246433920065956,5.927943628485109,0.99,500
20260834,100,MMD2,scale,1.0,0.10105881143881068,0.10550611268743251,4.2187437794112075,4.404398292962963,2.1478811041104744,7.256927391203214,1.0,500
20260834,100,TV,contamination,0.0,0.29,0.2838,0.8055555555555556,0.7883333333333333,0.5833333333333333,1.027777777777778,0.032,500
20260834,100,TV,contamination,0.05,0.30000000000000004,0.30112,0.8333333333333335,0.8364444444444444,0.6388888888888888,1.0555555555555556,0.068,500
20260834,100,TV,contamination,0.1,0.32,0.32245999999999997,0.888888888888889,0.8957222222222223,0.6666666666666667,1.1256944444444439,0.156,500
20260834,100,TV,contamination,0.2,0.37,0.36894,1.027777777777778,1.0248333333333335,0.7631944444444445,1.3055555555555556,0.554,500
20260834,100,TV,contamination,0.3,0.43,0.42416000000000004,1.1944444444444444,1.1782222222222225,0.9166666666666667,1.4312499999999995,0.896,500
20260834,100,TV,contamination,0.4,0.4800000000000001,0.48378000000000004,1.3333333333333335,1.3438333333333334,1.0833333333333335,1.6111111111111114,0.988,500
20260834,100,TV,contamination,0.5,0.55,0.5537799999999999,1.527777777777778,1.5382777777777779,1.277777777777778,1.7777777777777781,1.0,500
20260834,100,TV,contamination,0.6,0.6200000000000001,0.62578,1.7222222222222225,1.7382777777777778,1.5000000000000002,1.972222222222222,1.0,500
20260834,100,TV,contamination,0.8,0.79,0.78874,2.1944444444444446,2.190944444444445,1.9722222222222223,2.416666666666667,1.0,500
20260834,100,TV,contamination,1.0,0.97,0.96674,2.6944444444444446,2.6853888888888893,2.5833333333333335,2.7777777777777777,1.0,500
20260834,100,TV,location,0.0,0.29,0.28742,0.8055555555555556,0.7983888888888889,0.5833333333333334,1.027777777777778,0.036,500
20260834,100,TV,location,0.05,0.28,0.28714,0.7777777777777779,0.7976111111111112,0.5833333333333334,1.027777777777778,0.046,500
