seed,sample_size,measure,B,threshold,calibration_mean,calibration_median,calibration_sd,mmd_bandwidth
20260835,50,MMD2,1000,0.047499323695842276,0.018204616045417437,0.013913076991425077,0.015893920452169127,0.9670762654978572
20260835,100,JS,1000,0.11951627615120758,0.08508698170565594,0.08275217679550192,0.019777440766141498,0.9670762654978572
20260835,100,TV,1000,0.3504999999999996,0.28235000000000005,0.28,0.04165708598561369,0.9670762654978572
20260835,100,W1,1000,0.30234966238915484,0.17799543242132568,0.16612535056658395,0.0634838863855706,0.9670762654978572
20260835,100,MMD2,1000,0.024607682842106463,0.008808355896700119,0.0062111951076191385,0.00823853760615094,0.9670762654978572
20260835,250,JS,1000,0.05238828540596938,0.03751434109073675,0.03707087129494481,0.008603175473137183,0.9670762654978572
20260835,250,TV,1000,0.228,0.18200000000000002,0.18,0.02605176951177587,0.9670762654978572
20260835,250,W1,1000,0.1993803737824735,0.11426589093627047,0.10469928351124734,0.042060011093687934,0.9670762654978572
20260835,250,MMD2,1000,0.009571455106363473,0.003387979860296021,0.002570572262345916,0.003000225588852228,0.9670762654978572
20260836,50,JS,1000,0.22583138199205147,0.16458658289241623,0.1629822360332029,0.03751237046219476,0.9504961924207631
20260836,50,TV,1000,0.5,0.39146000000000003,0.38,0.06041123999652646,0.9504961924207631
20260836,50,W1,1000,0.4324310755386365,0.25134298895439283,0.23320666848754285,0.09389900989663748,0.9504961924207631
20260836,50,MMD2,1000,0.04943327124136488,0.01722833595183976,0.012869115251923025,0.015459612423329447,0.9504961924207631
20260836,100,JS,1000,0.1261895894695612,0.08895062639493713,0.08734076436787333,0.020740639573769398,0.9504961924207631
20260836,100,TV,1000,0.36000000000000004,0.29014999999999996,0.29000000000000004,0.04358184113684135,0.9504961924207631
20260836,100,W1,1000,0.2998321471437871,0.17585718210703008,0.16315278630908572,0.06240503231602402,0.9504961924207631
20260836,100,MMD2,1000,0.023933583463778357,0.008396574975844165,0.005871733164143356,0.007914430040657339,0.9504961924207631
20260836,250,JS,1000,0.054035835080938815,0.03922011447783964,0.03859880082450275,0.00845654354051343,0.9504961924207631
20260836,250,TV,1000,0.236,0.187776,0.188,0.026433474091623912,0.9504961924207631
20260836,250,W1,1000,0.18343482167658573,0.11151478872579804,0.10356276728735728,0.03791370735308695,0.9504961924207631
20260836,250,MMD2,1000,0.010065471469703366,0.0036981414987746052,0.0027250635679262336,0.0031886489068564403,0.9504961924207631
20260837,50,JS,1000,0.22419048069429645,0.16155180608955425,0.15892607107652112,0.03754063906339257,0.9330130437967208
20260837,50,TV,1000,0.48000000000000004,0.38866,0.38,0.059411565659677194,0.9330130437967208
20260837,50,W1,1000,0.41858668946275557,0.2446676913893767,0.23187993740777332,0.0888487593470992,0.9330130437967208
20260837,50,MMD2,1000,0.046288088534592146,0.017567404302124816,0.013159347929065146,0.015177547185520696,0.9330130437967208
20260837,100,JS,1000,0.12414834205749055,0.08862314453269021,0.0880572424723289,0.02034470447912913,0.9330130437967208
20260837,100,TV,1000,0.36,0.28949,0.29000000000000004,0.0437784930811518,0.9330130437967208
20260837,100,W1,1000,0.29956622893694285,0.1772653303191541,0.16564301618979665,0.06408519887931592,0.9330130437967208
20260837,100,MMD2,1000,0.024998624191737418,0.008963446329383309,0.006485059701198226,0.007853706209736378,0.9330130437967208
20260837,250,JS,1000,0.054231929862765406,0.03875438192030235,0.03792703917369917,0.008523164723734582,0.9330130437967208
20260837,250,TV,1000,0.23199999999999998,0.18747600000000003,0.188,0.026016038481257258,0.9330130437967208
20260837,250,W1,1000,0.18117527370069209,0.1120242161528501,0.10547367199067184,0.037793609429295334,0.9330130437967208
20260837,250,MMD2,1000,0.009611309184612867,0.0035802356030716293,0.0025740498488882047,0.0031828152064753506,0.9330130437967208
20260838,50,JS,1000,0.2327487963875053,0.15867099507950855,0.1540898902270041,0.03877343709114292,0.9757362031791389
20260838,50,TV,1000,0.48099999999999915,0.38776,0.38,0.06040058468782095,0.9757362031791389
20260838,50,W1,1000,0.43294515141266,0.24956316048018026,0.2345275971105599,0.09323137169939504,0.9757362031791389
20260838,50,MMD2,1000,0.047139082672522765,0.01764784615745402,0.013205929831093366,0.01585366189084789,0.9757362031791389
20260838,100,JS,1000,0.12529902114902133,0.0877276031885663,0.08594167784174042,0.02075115678859871,0.9757362031791389
20260838,100,TV,1000,0.36,0.28596000000000005,0.29,0.041754303033601475,0.9757362031791389
20260838,100,W1,1000,0.30662079738229486,0.18029028758738208,0.16884220560840568,0.06450899275195568,0.9757362031791389
20260838,100,MMD2,1000,0.025485005393088626,0.009147531676930718,0.0065843635642571785,0.008341058967147081,0.9757362031791389
20260838,250,JS,1000,0.05223746667566055,0.03812841250746613,0.03797514559673675,0.008237433065758462,0.9757362031791389
20260838,250,TV,1000,0.228,0.18586400000000006,0.184,0.026574870229743888,0.9757362031791389
20260838,250,W1,1000,0.20037610310956402,0.11571153166013402,0.10413168963382369,0.042100634719466866,0.9757362031791389
20260838,250,MMD2,1000,0.009557178006039828,0.0034985167410728347,0.0026337246015064597,0.0030638174976445128,0.9757362031791389
