target,degree,n_terms,method,train_rmse,train_mae,train_max_error,eval_rmse,eval_mae,eval_max_error,condition_number
phi2_localised,6,28,L2,0.0072266596556909745,0.005550813844241237,0.04332533516984695,0.006775573052695704,0.005503122142470526,0.03760579007269242,5.988847135087288
phi2_localised,6,28,Linf,0.010219803362869402,0.009241483754399605,0.014215374922867424,0.010221843519327423,0.00924141943290422,0.014454995452630924,5.988847135087288
phi2_localised,7,36,L2,0.0072266596556909745,0.005550813844241217,0.043325335169852555,0.0067755730526956395,0.0055031221424705415,0.03760579007269775,6.8447319243474425
phi2_localised,7,36,Linf,0.010219803362803776,0.009241483754344507,0.014215374921053972,0.01022184351928439,0.009241419432868884,0.014454995450730902,6.8447319243474425
phi2_localised,8,45,L2,0.001362008581306302,0.0010135339341706148,0.007943386831906877,0.0012788718934355376,0.0010111304861016388,0.006109880447397211,7.803290381030962
phi2_localised,8,45,Linf,0.0018945515090415446,0.001699635986896443,0.0027042954960846965,0.00188521964229652,0.001685398732595821,0.0028512041447682768,7.803290381030962
phi2_localised,9,55,L2,0.0013620085813063067,0.0010135339341706343,0.007943386831908723,0.0012788718934355996,0.0010111304861016642,0.006109880447399133,8.740126263391407
phi2_localised,9,55,Linf,0.0018945532892094342,0.0016996380393526828,0.002704290466411463,0.001885220436253691,0.001685399624875095,0.0028512002796191073,8.740126263391407
phi2_localised,10,66,L2,0.000215832462887328,0.00015794622998580396,0.001070937535853328,0.0002040097142535395,0.00015729541360136036,0.0006732568309200104,9.760800153575802
phi2_localised,10,66,Linf,0.0003077325984891347,0.00027769622688226717,0.00043448613892105303,0.00030524292216566127,0.00027441784785556646,0.0004927172004679167,9.760800153575802
phi2_localised,11,78,L2,0.000215832462887329,0.00015794622998574,0.0010709375358579631,0.00020400971425352615,0.00015729541360133583,0.0006732568309189002,10.761903124203743
phi2_localised,11,78,Linf,0.00030779136609083795,0.0002776963374738507,0.00043448518571700956,0.0003052687423035694,0.00027441923212893286,0.0004940608887452937,10.761903124203743
phi2_localised,12,91,L2,2.933887487969162e-05,2.1046891283310094e-05,0.00011074753261549469,2.8028607745441873e-05,2.1120690621572823e-05,0.00010399494094076242,11.858716675852053
phi2_localised,12,91,Linf,4.264506699143793e-05,3.814441643647345e-05,6.0310931899149045e-05,4.2746897949324096e-05,3.852189697171827e-05,7.32543526414664e-05,11.858716675852053
phi3_rational,1,3,L2,0.10192789477084542,0.07539736105293494,0.4353278100861263,0.09686329081860218,0.07194831725298137,0.43955770796761195,1.6770509831248426
phi3_rational,1,3,Linf,0.13353759755022046,0.11684994360774148,0.2529650007115545,0.13042664589550856,0.11435629490449226,0.2542417448829236,1.6770509831248426
phi3_rational,2,6,L2,0.04459700046212959,0.0331390654166305,0.16169834346761314,0.042023862782295265,0.03118472224372484,0.1623486337911425,2.8165355891089043
phi3_rational,2,6,Linf,0.07536414409478645,0.06718273678838059,0.11188224586151443,0.07525468198944212,0.06712858813004598,0.11371137785166119,2.8165355891089043
phi3_rational,3,10,L2,0.02047744155627834,0.014120516889912914,0.07676635663674936,0.018773817962772037,0.012974936724642654,0.07679865632737803,3.52874327028453
phi3_rational,3,10,Linf,0.033643875291927035,0.028227138999865713,0.06309812964070899,0.032750168514535924,0.027457479622295347,0.06387579139106103,3.52874327028453
phi3_rational,4,15,L2,0.011996439236098078,0.007694618562962113,0.09853890603982274,0.010715334648078178,0.006925701117297699,0.08969957929325323,4.428298804535025
phi3_rational,4,15,Linf,0.019817542405021153,0.01680506552529023,0.0361670172941041,0.019465525784361004,0.016488709784226896,0.036699597795007574,4.428298804535025
phi3_rational,5,21,L2,0.007071846562929273,0.004835494749026644,0.06278848762989475,0.006332789170357895,0.004460340975181486,0.056825310159700604,5.144739949812352
phi3_rational,5,21,Linf,0.010906744199050132,0.009287559156661135,0.019545824366027226,0.010763462581536636,0.00918979528659192,0.020227040046948017,5.144739949812352
phi3_rational,6,28,L2,0.0035907873867403245,0.002521703791921777,0.024112399545069163,0.003239028143649631,0.002343060236555628,0.02182371656841553,5.988847135087288
phi3_rational,6,28,Linf,0.005334295254110835,0.0046367269390710855,0.008946152460194215,0.0052767901329679465,0.004587065991525581,0.009493438809829668,5.988847135087288
phi3_rational,7,36,L2,0.001675938718481392,0.001154264070003111,0.0072426661536308945,0.0015033879673888532,0.0010600815547143875,0.006812464260000539,6.8447319243474425
phi3_rational,7,36,Linf,0.002447629215299722,0.0020884254202435206,0.004359545001688142,0.002413534752858688,0.002062973607047338,0.005032726741522997,6.8447319243474425
phi3_rational,8,45,L2,0.000860110105032914,0.0005524204722126176,0.0036216813900527,0.000759265690209618,0.0005005002940499611,0.0036780579379649403,7.803290381030962
phi3_rational,8,45,Linf,0.0015048861764272547,0.001330317300732013,0.0023379322251709522,0.0014898038157352914,0.001316774919651192,0.002815504757104459,7.803290381030962
phi3_rational,9,55,L2,0.000498444784824253,0.0003257381198916515,0.0033754254973960007,0.0004410535397300951,0.0002962533907641551,0.002400899413274371,8.740126263391407
phi3_rational,9,55,Linf,0.000783879854100384,0.0006786427264320526,0.0012797413592906398,0.0007682139820335977,0.00066047639813037,0.0015299728162609938,8.740126263391407
phi3_rational,10,66,L2,0.00027762720432483355,0.00018813952707842402,0.0016954233539531183,0.0002488204226166194,0.00017146425353681572,0.0012588318282362732,9.760800153575802
phi3_rational,10,66,Linf,0.00042045812343140265,0.0003662168315271725,0.0006812422352535513,0.0004122471005872808,0.0003574807480754858,0.0008230919863475572,9.760800153575802
phi3_rational,11,78,L2,0.0001409563848417738,9.688740803399346e-05,0.0005653096891924947,0.0001276601730914917,8.881716903755204e-05,0.0005538605594398449,10.761903124203743
