experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
grid_robustness,periodic,14,120,Linf,41,251,5.661242416109188e-09,3.5358862465764458e-09,1.2702252139007442e-08,2.150305067338821e-08,3.51196319803293e-08,4.727749145024767e-09,3.221565140676681e-09,9.991525828922931e-09,1.711624834921377e-08,3.043222418508407e-08,13.840851688845886,0.0
grid_robustness,periodic,15,136,L2,41,251,2.7521082411287184e-12,2.0424562026510056e-12,5.042022355183917e-12,9.644673948372429e-12,1.2494325019041241e-11,2.555173391574413e-12,2.007856038094308e-12,4.8160468668623224e-12,6.416478459669861e-12,1.0883599577127256e-11,14.869671761612242,
grid_robustness,periodic,15,136,Linf,41,251,8.569661803789311e-10,4.139551394638001e-10,1.282161932181225e-09,4.451911994607381e-09,9.521423927072448e-09,5.373709879546488e-10,3.318368821947389e-10,9.060692474083254e-10,1.945752864385142e-09,8.256332062472893e-09,14.869671761612242,0.0
grid_robustness,periodic,16,153,L2,41,251,2.752105806462201e-12,2.0424828407753533e-12,5.042799511301155e-12,9.645167997618387e-12,1.2495556016190326e-11,2.5551613030843834e-12,2.0078560060565292e-12,4.816064214097082e-12,6.416187026125897e-12,1.0882073020468397e-11,15.98659532781521,
grid_robustness,periodic,16,153,Linf,41,251,6.874457372456224e-10,3.1349175631651614e-10,1.1004939320935492e-09,3.4596858926589834e-09,6.627185134000513e-09,4.3369509523074806e-10,2.43824156271499e-10,8.651560301498051e-10,1.855103895151422e-09,4.879108774988317e-09,15.98659532781521,0.0
grid_robustness,interaction,1,3,L2,41,251,0.5749132480891069,0.49653975484357316,1.0485327360395527,1.091156347876396,1.103014297604976,0.5720966761153341,0.49231291763947127,1.0533565003631713,1.0915483598164875,1.1032918454820702,1.6903085094570327,
grid_robustness,interaction,1,3,Linf,41,251,0.6703883441318339,0.5828312085724175,0.9962626659338596,0.999866443522222,0.9999911878900207,0.6780300587643419,0.5968959503667015,0.9960553103997256,0.9998382653155482,1.0000221500832052,1.6903085094570327,0.9999911878900184
grid_robustness,interaction,2,6,L2,41,251,0.557568189431756,0.4630158579655194,1.052108461793556,1.3702900278845094,1.4041666382430587,0.5514756218838699,0.4564534756925595,1.050985254483405,1.3622111742945227,1.404115853582392,2.859430597277969,
grid_robustness,interaction,2,6,Linf,41,251,0.6303839764685178,0.5546768428715582,0.9446157291455071,0.9609447460965658,0.9641228814625927,0.6321685806010889,0.5561868617939804,0.944712534366058,0.9610319566404106,0.9657188147258089,2.859430597277969,0.9641228814625913
grid_robustness,interaction,3,10,L2,41,251,0.42430898319194377,0.3592374849873036,0.7750323795723821,1.053706606129589,1.8294614767776383,0.4116015287660774,0.3514269979532804,0.7605634722001908,0.9740002171451696,1.7857656705066127,3.6072179272443354,
grid_robustness,interaction,3,10,Linf,41,251,0.5191676004827143,0.45273179658257917,0.7904971837367574,0.8050072782305172,0.8064663908428729,0.5145584636709626,0.44801987906184493,0.7876849620066478,0.8022433015536545,0.8083650512254366,3.6072179272443354,0.8064663908428564
