experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
primary,periodic,10,66,L2,31,201,1.7078831381380994e-06,1.315783964447887e-06,3.0107616996455366e-06,5.427286337769075e-06,9.599466724585789e-06,1.5191009450996735e-06,1.2520211828422324e-06,2.8031067177414215e-06,3.411792042939954e-06,6.974098498644873e-06,9.760800153575802,
primary,periodic,10,66,Linf,31,201,2.1777499693569306e-06,1.9182665520008798e-06,3.3627512898015134e-06,3.3669908065359076e-06,3.4527530859695954e-06,2.1368484648020035e-06,1.8718900462794276e-06,3.322902691060836e-06,3.4272178870975445e-06,3.688276346558439e-06,9.760800153575802,3.3627512902536325e-06
primary,periodic,11,78,L2,31,201,2.723985738534396e-08,2.0901586009509604e-08,4.6358937300094993e-08,8.470871620813725e-08,1.2091692158655576e-07,2.466690328469667e-08,2.006032033588015e-08,4.53194192728823e-08,6.064780505576906e-08,8.53485256097769e-08,10.761903124203743,
primary,periodic,11,78,Linf,31,201,4.409513994219174e-08,3.720725689419897e-08,8.458794098498146e-08,9.776896181430682e-08,1.1066644567403472e-07,4.3541326183000294e-08,3.640757719592755e-08,8.355077988492221e-08,9.717196436387354e-08,1.15093284153156e-07,10.761903124203743,4.516222985218036e-08
primary,periodic,12,91,L2,31,201,2.723985739459708e-08,2.090158597906907e-08,4.635893813276226e-08,8.470871974419758e-08,1.2091691480725641e-07,2.4666903237978774e-08,2.006032024960271e-08,4.531941921737115e-08,6.064780527781366e-08,8.534852718490582e-08,11.858716675852053,
primary,periodic,12,91,Linf,31,201,4.0004515211344475e-08,3.4644689574667114e-08,6.497187471365962e-08,8.292272733328459e-08,1.305140365781554e-07,3.80547188018511e-08,3.321015305941117e-08,6.077682035421361e-08,7.557146586290031e-08,1.2391656090127157e-07,11.858716675852053,5.1172729432125975e-08
primary,periodic,13,105,L2,31,201,3.1710178447475816e-10,2.408790612055106e-10,5.721326190588627e-10,1.0075946767245647e-09,1.2203461505211344e-09,2.942672154225936e-10,2.3505592626534083e-10,5.482592435601674e-10,7.802087214139886e-10,1.0740833777944658e-09,12.900554827496903,
primary,periodic,13,105,Linf,31,201,1.3912076798325059e-09,8.129728058235246e-10,2.5155660332565333e-09,4.7890828996921505e-09,1.730722409831742e-08,1.026501657415929e-09,7.099386318937533e-10,2.1763608692992875e-09,3.434711754596309e-09,1.3981126806630884e-08,12.900554827496903,0.0
primary,periodic,14,120,L2,31,201,3.1710178585461743e-10,2.4087908014185257e-10,5.72133174170375e-10,1.0075949117462608e-09,1.2203506399854902e-09,2.9426718374172483e-10,2.3505592832492527e-10,5.482586329375039e-10,7.802106460896852e-10,1.074084376995188e-09,14.085497427313248,
primary,periodic,14,120,Linf,31,201,1.0768064778434148e-09,5.405220145866093e-10,1.630191759360855e-09,5.314486889451674e-09,1.0998788979248022e-08,6.579591871881462e-10,4.4043567610435265e-10,1.281637393435453e-09,2.1303775410430603e-09,8.3591572188485e-09,14.085497427313248,0.0
primary,periodic,15,136,L2,31,201,2.795682573316608e-12,2.0844926319825995e-12,5.247247081285877e-12,1.0363935952947273e-11,1.2496725876331993e-11,2.6807300308331784e-12,2.0899697384313776e-12,5.017625204217779e-12,7.065098506231493e-12,1.2546685912440125e-11,15.174287440626356,
primary,periodic,15,136,Linf,31,201,1.0888361004404463e-09,4.4338466598388e-10,1.3996171721597506e-09,4.963668884250253e-09,1.6138998459529068e-08,5.590088471499831e-10,3.193169264753262e-10,9.905196107773406e-10,2.0366955760797723e-09,1.3053355138112344e-08,15.174287440626356,0.0
primary,periodic,16,153,L2,31,201,2.7956826540721007e-12,2.0844990768288335e-12,5.24824628200804e-12,1.0364238488721482e-11,1.2496795265271032e-11,2.6807305799071233e-12,2.089978686967136e-12,5.018818693969251e-12,7.0662642404073495e-12,1.254665815686451e-11,16.47063255067484,
primary,periodic,16,153,Linf,31,201,5.673931523099388e-10,2.961007507939151e-10,1.0813852300388373e-09,2.654221683375401e-09,4.74777907023147e-09,3.569377463474281e-10,2.3718629373186064e-10,6.837740373910606e-10,1.2954181338731274e-09,3.6604181161831173e-09,16.47063255067484,0.0
primary,interaction,1,3,L2,31,201,0.5758480463280778,0.4973139160290598,1.0489312852415111,1.094139616297103,1.1074143301714945,0.5725768858239344,0.4924050951955774,1.0545644929900948,1.096142451823161,1.1077800538483675,1.6770509831248426,
primary,interaction,1,3,Linf,31,201,0.6678877201256578,0.5775814321593538,0.99556196460308,1.0,1.0,0.6780368207690854,0.5969098842575773,0.9961300423668636,0.9998499934968039,0.9999999846943931,1.6770509831248426,1.0000000000000002
primary,interaction,2,6,L2,31,201,0.5595426078397899,0.4652968747266301,1.0596342110672963,1.3581379126170348,1.3750364681790874,0.5522495636290902,0.45734401304116795,1.0574762647302183,1.3389359583803357,1.3801289849909653,2.8165355891089043,
primary,interaction,2,6,Linf,31,201,0.6296180515230103,0.5543136120303517,0.944776776972604,0.9621742339391544,0.9627144667987768,0.6318267046405107,0.5558394071788456,0.9447662759363354,0.9608938149858794,0.9707284615841925,2.8165355891089043,0.9627144667987763
