degree,regime,d,mean_pair_max_error,min_pair_max_error,max_pair_max_error,mean_prediction_difference,bound_satisfaction_rate
5,preserved,1.0,6.541878150301272e-15,6.217248937900877e-15,7.771561172376096e-15,2.000000000000002,0.0
5,representational_loss,0.1,0.119834166381465,0.10007362895336003,0.14045259028741347,0.0,1.0
5,representational_loss,0.25,0.269834166381465,0.25007362895336005,0.29045259028741344,0.0,1.0
5,representational_loss,0.5,0.5198341663814651,0.50007362895336,0.5404525902874134,0.0,1.0
5,representational_loss,0.75,0.7698341663814651,0.75007362895336,0.7904525902874134,0.0,1.0
5,representational_loss,1.0,1.019834166381465,1.00007362895336,1.0404525902874135,0.0,1.0
6,observational_loss,0.1,0.120270403833929,0.10001560498694999,0.17499222547389653,0.0,1.0
6,observational_loss,0.25,0.270270403833929,0.25001560498694997,0.3249922254738965,0.0,1.0
6,observational_loss,0.5,0.520270403833929,0.50001560498695,0.5749922254738965,0.0,1.0
6,observational_loss,0.75,0.770270403833929,0.75001560498695,0.8249922254738965,0.0,1.0
6,observational_loss,1.0,1.020270403833929,1.00001560498695,1.0749922254738966,0.0,1.0
6,preserved,0.1,3.7611858072494896e-15,2.9837243786801082e-15,4.440892098500626e-15,0.20000000000000012,0.0
6,preserved,0.25,4.0242809085100364e-15,3.2751579226442118e-15,4.6629367034256575e-15,0.5000000000000002,0.0
6,preserved,0.5,4.445555035204052e-15,3.885780586188048e-15,4.9960036108132044e-15,1.0000000000000004,0.0
6,preserved,0.75,4.554356891617317e-15,4.107825191113079e-15,5.10702591327572e-15,1.5000000000000007,0.0
6,preserved,1.0,6.1461946643248665e-15,5.329070518200751e-15,6.8833827526759706e-15,2.000000000000001,0.0
6,representational_loss,0.1,0.120270403833929,0.10001560498694999,0.17499222547389653,0.0,1.0
6,representational_loss,0.25,0.270270403833929,0.25001560498694997,0.3249922254738965,0.0,1.0
6,representational_loss,0.5,0.520270403833929,0.50001560498695,0.5749922254738965,0.0,1.0
6,representational_loss,0.75,0.770270403833929,0.75001560498695,0.8249922254738965,0.0,1.0
6,representational_loss,1.0,1.020270403833929,1.00001560498695,1.0749922254738966,0.0,1.0
7,observational_loss,0.1,0.12063750005235166,0.1000119898453328,0.16839381511192608,0.0,1.0
7,observational_loss,0.25,0.27063750005235165,0.2500119898453328,0.3183938151119261,0.0,1.0
7,observational_loss,0.5,0.5206375000523517,0.5000119898453328,0.5683938151119261,0.0,1.0
7,observational_loss,0.75,0.7706375000523517,0.7500119898453328,0.8183938151119261,0.0,1.0
7,observational_loss,1.0,1.0206375000523518,1.0000119898453328,1.068393815111926,0.0,1.0
7,preserved,0.1,5.432543304095816e-15,4.704570066849101e-15,6.300515664747763e-15,0.19999999999999993,0.0
7,preserved,0.25,5.365485833408457e-15,4.6074255521944e-15,6.300515664747763e-15,0.49999999999999983,0.0
7,preserved,0.5,5.342615239101178e-15,4.440892098500626e-15,6.5503158452884236e-15,0.9999999999999996,0.0
7,preserved,0.75,5.843991957021899e-15,4.884981308350689e-15,6.994405055138486e-15,1.4999999999999991,0.0
7,preserved,1.0,6.109779349117161e-15,5.551115123125783e-15,7.105427357601002e-15,2.0000000000000018,0.0
7,representational_loss,0.1,0.12063750005235166,0.1000119898453328,0.16839381511192608,0.0,1.0
7,representational_loss,0.25,0.27063750005235165,0.2500119898453328,0.3183938151119261,0.0,1.0
7,representational_loss,0.5,0.5206375000523517,0.5000119898453328,0.5683938151119261,0.0,1.0
7,representational_loss,0.75,0.7706375000523517,0.7500119898453328,0.8183938151119261,0.0,1.0
7,representational_loss,1.0,1.0206375000523518,1.0000119898453328,1.068393815111926,0.0,1.0
8,observational_loss,0.1,0.12206769657739457,0.10001787386968419,0.1966041643907801,0.0,1.0
8,observational_loss,0.25,0.27206769657739455,0.2500178738696842,0.3466041643907801,0.0,1.0
8,observational_loss,0.5,0.5220676965773946,0.5000178738696842,0.5966041643907801,0.0,1.0
8,observational_loss,0.75,0.7720676965773946,0.7500178738696842,0.8466041643907801,0.0,1.0
8,observational_loss,1.0,1.0220676965773945,1.000017873869684,1.09660416439078,0.0,1.0
8,preserved,0.1,4.925782004505663e-15,2.5673907444456745e-15,6.2450045135165055e-15,0.2000000000000001,0.0
8,preserved,0.25,4.603428749305749e-15,2.8033131371785203e-15,6.716849298982197e-15,0.49999999999999994,0.0
8,preserved,0.5,3.459232900127063e-15,7.771561172376096e-16,7.216449660063518e-15,0.9999999999999997,0.0
8,preserved,0.75,5.1025850211772196e-15,7.771561172376096e-16,1.0547118733938987e-14,1.500000000000003,0.0
8,preserved,1.0,8.804956763697192e-15,4.218847493575595e-15,3.319566843629218e-14,1.9999999999999956,0.0
8,representational_loss,0.1,0.12206769657739457,0.10001787386968419,0.1966041643907801,0.0,1.0
8,representational_loss,0.25,0.27206769657739455,0.2500178738696842,0.3466041643907801,0.0,1.0
8,representational_loss,0.5,0.5220676965773946,0.5000178738696842,0.5966041643907801,0.0,1.0
8,representational_loss,0.75,0.7720676965773946,0.7500178738696842,0.8466041643907801,0.0,1.0
8,representational_loss,1.0,1.0220676965773945,1.000017873869684,1.09660416439078,0.0,1.0
9,observational_loss,0.1,0.1214332651886484,0.10017523656233195,0.1809693197110191,0.0,1.0
9,observational_loss,0.25,0.2714332651886484,0.2501752365623319,0.3309693197110191,0.0,1.0
9,observational_loss,0.5,0.5214332651886484,0.500175236562332,0.5809693197110191,0.0,1.0
9,observational_loss,0.75,0.7714332651886484,0.750175236562332,0.8309693197110191,0.0,1.0
9,observational_loss,1.0,1.0214332651886484,1.000175236562332,1.080969319711019,0.0,1.0
9,preserved,0.1,2.0147217227872714e-15,1.0408340855860843e-15,3.316791286067655e-15,0.20000000000000043,0.0
9,preserved,0.25,2.1593837828959294e-15,1.3322676295501878e-15,2.9976021664879227e-15,0.5000000000000009,0.0
9,preserved,0.5,2.4078516958070394e-15,1.1102230246251565e-15,3.3306690738754696e-15,1.0000000000000016,0.0
9,preserved,0.75,3.121725100641015e-15,1.7763568394002505e-15,4.3298697960381105e-15,1.500000000000002,0.0
9,preserved,1.0,3.022027073029676e-15,1.5543122344752192e-15,4.884981308350689e-15,2.0000000000000027,0.0
9,representational_loss,0.1,0.1214332651886484,0.10017523656233195,0.1809693197110191,0.0,1.0
9,representational_loss,0.25,0.2714332651886484,0.2501752365623319,0.3309693197110191,0.0,1.0
9,representational_loss,0.5,0.5214332651886484,0.500175236562332,0.5809693197110191,0.0,1.0
9,representational_loss,0.75,0.7714332651886484,0.750175236562332,0.8309693197110191,0.0,1.0
9,representational_loss,1.0,1.0214332651886484,1.000175236562332,1.080969319711019,0.0,1.0
10,observational_loss,0.1,0.12280225826974178,0.10000059354696639,0.21214837624220068,0.0,1.0
10,observational_loss,0.25,0.2728022582697418,0.25000059354696635,0.3621483762422007,0.0,1.0
10,observational_loss,0.5,0.5228022582697417,0.5000005935469664,0.6121483762422006,0.0,1.0
10,observational_loss,0.75,0.7728022582697417,0.7500005935469664,0.8621483762422006,0.0,1.0
10,observational_loss,1.0,1.0228022582697418,1.0000005935469665,1.1121483762422006,0.0,1.0
10,preserved,0.1,3.075734111845918e-15,2.0539125955565396e-15,5.1209037010835345e-15,0.20000000000000032,0.0
10,preserved,0.25,3.425926209388308e-15,2.0539125955565396e-15,4.6074255521944e-15,0.5000000000000009,0.0
10,preserved,0.5,3.911759804964277e-15,2.3314683517128287e-15,4.440892098500626e-15,1.0000000000000018,0.0
10,preserved,0.75,3.86024545662167e-15,3.3306690738754696e-15,4.440892098500626e-15,1.5000000000000018,0.0
10,preserved,1.0,4.536815367828239e-15,2.886579864025407e-15,5.551115123125783e-15,2.0000000000000018,0.0
10,representational_loss,0.1,0.12280225826974178,0.10000059354696639,0.21214837624220068,0.0,1.0
10,representational_loss,0.25,0.2728022582697418,0.25000059354696635,0.3621483762422007,0.0,1.0
10,representational_loss,0.5,0.5228022582697417,0.5000005935469664,0.6121483762422006,0.0,1.0
10,representational_loss,0.75,0.7728022582697417,0.7500005935469664,0.8621483762422006,0.0,1.0
10,representational_loss,1.0,1.0228022582697418,1.0000005935469665,1.1121483762422006,0.0,1.0
11,observational_loss,0.1,0.12327259938022544,0.10006753219966597,0.2746528926116426,0.0,1.0
11,observational_loss,0.25,0.2732725993802254,0.25006753219966593,0.42465289261164263,0.0,1.0
11,observational_loss,0.5,0.5232725993802254,0.5000675321996659,0.6746528926116426,0.0,1.0
11,observational_loss,0.75,0.7732725993802254,0.7500675321996659,0.9246528926116426,0.0,1.0
11,observational_loss,1.0,1.0232725993802254,1.000067532199666,1.1746528926116426,0.0,1.0
11,preserved,0.1,3.210903765094031e-15,2.6922908347160046e-15,3.635980405647388e-15,0.20000000000000023,0.0
11,preserved,0.25,3.153310945691601e-15,2.275957200481571e-15,3.7192471324942744e-15,0.5000000000000003,0.0
