provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference
openai,CP02,surface,0.25,20,30,7.00734022630237,7.01836998280255,0.47747313615399184,0.4292752796810722,1.0,0.31163160239666365,1.0
openai,CP02,surface,0.25,25,30,8.62471055699292,8.642548839543673,0.4634389441406432,0.418477185118515,1.0,0.15274869006287475,1.0
openai,CP02,surface,0.25,30,30,10.179636733324097,10.185775255105098,0.4371270105895505,0.41225815472959065,1.0,0.0,1.0
openai,CP02,surface,0.5,3,30,1.506950163638107,1.5165209546977263,0.21660227088699496,0.6271841684847007,0.996,0.845497220751562,0.996
openai,CP02,surface,0.5,5,30,2.140765765779477,2.138377740287885,0.28435508888342803,0.5239785431892001,1.0,0.780514134764532,1.0
openai,CP02,surface,0.5,7,30,2.7062014548772906,2.713925527279143,0.3254395958332478,0.4780337934133874,1.0,0.7225418225010937,1.0
openai,CP02,surface,0.5,10,30,3.7577916912477365,3.7681592815549725,0.39070270393546136,0.44631620365578845,1.0,0.6147256398096177,1.0
openai,CP02,surface,0.5,15,30,5.1979218428204526,5.199954887347768,0.434998675417519,0.4201869070665575,1.0,0.4670737026279093,1.0
openai,CP02,surface,0.5,20,30,6.6414926157500815,6.650669466149494,0.4502653516419695,0.40686316177776366,1.0,0.3190690095456997,1.0
openai,CP02,surface,0.5,25,30,8.233282899445092,8.223096677270089,0.448012255135359,0.3994848324794648,1.0,0.15586784420802502,1.0
openai,CP02,surface,0.5,30,30,9.753547288718703,9.766616258422172,0.4106629641736895,0.3950022493584552,1.0,0.0,1.0
openai,CP02,surface,0.75,3,30,1.4430321227202834,1.4538483339665875,0.1936481390661204,0.6005818399462213,0.999,0.8300254686449658,0.999
openai,CP02,surface,0.75,5,30,1.9807604912663888,1.9999262587826985,0.25813658115044263,0.4848152998385529,1.0,0.7666865269811923,1.0
openai,CP02,surface,0.75,7,30,2.4903881479186576,2.5086327180032657,0.2939134027435337,0.4399117040143921,1.0,0.7066575638409,1.0
openai,CP02,surface,0.75,10,30,3.3821690929521324,3.407653558508032,0.3515442298565818,0.40170317934444033,1.0,0.6016148237543741,1.0
openai,CP02,surface,0.75,15,30,4.592566217895264,4.611064867691208,0.3948019173390668,0.37125148337141445,1.0,0.45904233293701663,1.0
openai,CP02,surface,0.75,20,30,5.826057135294334,5.8421440887602,0.39542135757853686,0.3569089305531121,1.0,0.3137496278651706,1.0
openai,CP02,surface,0.75,25,30,7.155382356701583,7.182370535755916,0.4035828956209279,0.3471843196698738,1.0,0.15716861489286102,1.0
openai,CP02,surface,0.75,30,30,8.489696139865515,8.50205805688471,0.39306929544255037,0.34381840497101906,1.0,0.0,1.0
openai,CP02,surface,1.0,3,30,1.900840920669814,1.9062328229656647,0.18379079072779528,0.7911192825208058,1.0,0.8552471509216446,1.0
openai,CP02,surface,1.0,5,30,2.7632833275280673,2.7691577322570975,0.24304739379689672,0.6763473125000972,1.0,0.7895704316332494,1.0
openai,CP02,surface,1.0,7,30,3.5619731352510167,3.5828248085815875,0.2976218691250413,0.6292005818014126,1.0,0.7287486006527792,1.0
openai,CP02,surface,1.0,10,30,4.9787342777384875,4.990282409369465,0.35124689522793845,0.5913286218144156,1.0,0.6208593977171114,1.0
openai,CP02,surface,1.0,15,30,6.931571287053915,6.961004562951509,0.3953370990711038,0.560330760694577,1.0,0.472146942187454,1.0
openai,CP02,surface,1.0,20,30,8.923942043054911,8.931289204872808,0.40700213336494045,0.5466878434146655,1.0,0.3204239125454392,1.0
openai,CP02,surface,1.0,25,30,11.094509740449357,11.098490181383154,0.422197124767099,0.5383136252252325,1.0,0.15513082836426753,1.0
openai,CP02,surface,1.0,30,30,13.131630449918681,13.151206801220091,0.4141804101462387,0.5318089318602428,1.0,0.0,1.0
openai,CP03,semantic,0.25,3,30,0.5914059676025762,0.6310049477898197,0.20963534782854187,0.2727654696886642,0.058,0.2883451207036746,0.78
openai,CP03,semantic,0.25,5,30,0.5859166622894025,0.6347858195216918,0.20675466702440642,0.16117051263001092,0.052,0.2949505510240742,0.768
openai,CP03,semantic,0.25,7,30,0.631609988482014,0.6732188274181589,0.21670575407264941,0.12443984519823126,0.074,0.23996652935775498,0.76
openai,CP03,semantic,0.25,10,30,0.6444683731433722,0.6863955570518899,0.2150369829464326,0.0891394724656146,0.097,0.22449368551544543,0.741
