provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
openai,SU02,5,0.2948578361106637,0.3059254805770764,0.1262410851507468,0.09564494704099114,0.09203637651328268,2000
openai,SU02,7,0.2948578361106637,0.2180783394900272,0.08762081852600444,0.06902562299250314,0.06331856597356766,2000
openai,SU02,10,0.2948578361106637,0.15203476168975308,0.06287847699666438,0.04935769178666205,0.04542386280405713,2000
openai,SU02,15,0.2948578361106637,0.09944276297134085,0.04153547922462064,0.03222170743057695,0.029819507090529072,2000
openai,SU02,20,0.2948578361106637,0.07729658526827311,0.03177535919390575,0.025227988537775192,0.022517212757333014,2000
openai,SU02,25,0.2948578361106637,0.06258906799544109,0.025408276876938155,0.019821556875731394,0.018154240462957834,2000
openai,SU02,30,0.2948578361106637,0.05294336896140964,0.021218581253454195,0.016703105975540034,0.014773969135721864,2000
openai,SU03,3,0.3315726717662446,0.438081843408585,0.2520346405035004,0.2267403655025616,0.09936612844647635,2000
openai,SU03,5,0.3315726717662446,0.2773133885050027,0.1525776041679062,0.13830636319693013,0.06426304376282517,2000
openai,SU03,7,0.3315726717662446,0.18954586126229353,0.105571665513498,0.09550522221472668,0.04405147216801196,2000
openai,SU03,10,0.3315726717662446,0.14016899848601874,0.07558278652768116,0.06825240406991473,0.031878583561739546,2000
openai,SU03,15,0.3315726717662446,0.09596200390851685,0.051176643111207766,0.04513862604885932,0.023183922888216663,2000
openai,SU03,20,0.3315726717662446,0.06683782592660552,0.03743661223421638,0.03374028913923277,0.015871274855546673,2000
openai,SU03,25,0.3315726717662446,0.05594777658616857,0.030238739870087926,0.026926801853816462,0.013036290849960214,2000
openai,SU03,30,0.3315726717662446,0.04652713403721472,0.025399259554954277,0.022455431466900877,0.011353738617297434,2000
openai,SU04,3,0.3989396949464683,0.43275587009544075,0.24742977284622164,0.22684385186530265,0.09835693331204733,2000
openai,SU04,5,0.3989396949464683,0.28012120451928796,0.1496651464033151,0.13603223401299636,0.06455980290539533,2000
openai,SU04,7,0.3989396949464683,0.19557619432335419,0.10710781771868379,0.09686263097875569,0.04478168527072645,2000
openai,SU04,10,0.3989396949464683,0.13028605063710194,0.07263717151933133,0.06547907682154686,0.030856617235876047,2000
openai,SU04,15,0.3989396949464683,0.09159781633594875,0.05036609394388867,0.04557114772035564,0.021455103503519483,2000
openai,SU04,20,0.3989396949464683,0.06746574313461795,0.037055703146517203,0.033319945408326834,0.01587367072583535,2000
openai,SU04,25,0.3989396949464683,0.05529332002414569,0.030055173804745698,0.027138679357478046,0.012508485801212749,2000
openai,SU04,30,0.3989396949464683,0.04532029630616414,0.024647761990405023,0.022092944305671436,0.010881439606635093,2000
openai,SU05,3,0.21845408291116053,0.5219435102354008,0.2660377463033885,0.2312134550346261,0.13651859054763069,2000
openai,SU05,5,0.21845408291116053,0.29792561582581517,0.15497383694278224,0.13882880681481746,0.07257483169982928,2000
openai,SU05,7,0.21845408291116053,0.2072932132709009,0.10959008960110798,0.09659754479566107,0.05229310207376262,2000
openai,SU05,10,0.21845408291116053,0.152650282775482,0.07909682256540129,0.06977792951999617,0.038254603076170283,2000
openai,SU05,15,0.21845408291116053,0.10228010503588578,0.05245497279902793,0.045259903736105556,0.025141216396164005,2000
openai,SU05,20,0.21845408291116053,0.07786743331024393,0.03965309857221716,0.03433967465385679,0.019554258165671738,2000
