provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference,theta,rho_reconstruction_relative_error
openai,EX05,context_removal,0.75,7,30,5.496781993083082,5.495047438169904,0.3708272231183661,0.989904121671689,1.0,0.7475070214276385,1.0,0.1800879356171197,0.0
openai,EX05,context_removal,0.75,10,30,7.554157405761323,7.566037087441773,0.4389874683078864,0.9602431970022732,1.0,0.6530021189879286,1.0,0.127114533815502,7.054486995646177e-16
openai,EX05,context_removal,0.75,15,30,10.569259951484838,10.580497625171905,0.465433016890078,0.9339197714449486,1.0,0.5145043172870757,1.0,0.0883618886972067,1.176477627845162e-15
openai,EX05,context_removal,0.75,20,30,13.948522200162786,13.93411775838842,0.4893035022862225,0.9222886669468322,1.0,0.3592789524064032,1.0,0.0661208874826946,1.0188071905593093e-15
openai,EX05,context_removal,0.75,25,30,17.71904240519406,17.73218609224523,0.505962640672185,0.9136196321615424,1.0,0.186081274468,1.0,0.051561456385122,1.804523200409053e-15
openai,EX05,context_removal,0.75,30,30,21.77003900925415,21.77996154640229,0.4704336463710328,0.9098696082811952,1.0,0.0,1.0,0.0417945786819408,2.4478920391164368e-15
openai,EX05,context_removal,1.0,3,30,2.574277411254072,2.5752294325457545,0.1907056170415063,1.119099227685623,1.0,0.8754723777902356,1.0,0.4347236326563765,0.0
openai,EX05,context_removal,1.0,5,30,3.887850595142462,3.902733703953986,0.2410026700098108,0.9987228702870232,1.0,0.8119298300939314,1.0,0.2568830375155985,3.4267459537018803e-16
openai,EX05,context_removal,1.0,7,30,5.308324243231962,5.317141618136564,0.3037548172797326,0.9559651545499532,1.0,0.7432160989960683,1.0,0.1800879356171197,0.0
openai,EX05,context_removal,1.0,10,30,7.211677356912153,7.225003316011491,0.3487594429643587,0.9167090052517006,1.0,0.651143645407362,1.0,0.127114533815502,7.389502128922912e-16
openai,EX05,context_removal,1.0,15,30,10.098962112976984,10.103227993070217,0.379312447693669,0.8923633661841806,1.0,0.511474663446285,1.0,0.0883618886972067,1.0553699397194474e-15
openai,EX05,context_removal,1.0,20,30,13.261216638607513,13.267933948683623,0.3974655433709608,0.8768434132450056,1.0,0.3585043444055721,1.0,0.0661208874826946,9.376589052622122e-16
openai,EX05,context_removal,1.0,25,30,16.86947176681838,16.865727608659615,0.4053405333809565,0.8698145327448542,1.0,0.1839592742130804,1.0,0.051561456385122,1.6848013869828721e-15
openai,EX05,context_removal,1.0,30,30,20.672340526327176,20.67917042284962,0.4019426415383182,0.8639917626674565,1.0,0.0,1.0,0.0417945786819408,2.0622998199604675e-15
openai,EX05,surface,0.25,3,30,1.2920038920857029,1.3045967578617184,0.2526653927636262,0.5616646253736739,0.89,0.816887504167902,0.89,0.4347236326563765,1.718606316011797e-16
openai,EX05,surface,0.25,5,30,1.7309086929144064,1.752877503794945,0.3416838159971732,0.4446410826980071,0.995,0.7546826191789776,0.995,0.2568830375155985,2.565642033389585e-16
openai,EX05,surface,0.25,7,30,2.181845864659942,2.2002586297921853,0.3899850258747611,0.3929241176013584,1.0,0.6907724162085401,1.0,0.1800879356171197,2.0353830536020815e-16
openai,EX05,surface,0.25,10,30,2.7993370505769124,2.819962691913558,0.4417667761371305,0.3558364241765468,1.0,0.603256927361949,1.0,0.127114533815502,6.345634010145948e-16
openai,EX05,surface,0.25,15,30,3.6768248106916497,3.689202861104985,0.4469608901812472,0.324891184681464,1.0,0.4788927711848804,1.0,0.0883618886972067,1.0870256524130457e-15
openai,EX05,surface,0.25,20,30,4.707562837506218,4.710098500047622,0.4451388361141031,0.3112682326964635,1.0,0.3328088361478272,1.0,0.0661208874826946,9.433526968815018e-16
openai,EX05,surface,0.25,25,30,5.8354865552188535,5.8531676016156124,0.4088859047217609,0.3008861855028833,1.0,0.1729510150346388,1.0,0.051561456385122,1.826435711152415e-15
openai,EX05,surface,0.25,30,30,7.055793140793538,7.06182706004187,0.2497370489844083,0.2948939015863944,1.0,0.0,1.0,0.0417945786819408,2.2658277015196388e-15
openai,EX05,surface,0.5,3,30,1.079449102604085,1.0962538179558714,0.194348329205454,0.4692620351517135,0.672,0.8040706669826266,0.672,0.4347236326563765,0.0
openai,EX05,surface,0.5,5,30,1.4088705723462542,1.428634804219716,0.2106619760342255,0.3619149520906456,0.994,0.7442778257152797,0.994,0.2568830375155985,1.576046865364294e-16
openai,EX05,surface,0.5,7,30,1.7617812934928856,1.781061846186824,0.236964997028869,0.3172755561539926,1.0,0.6802214824915634,1.0,0.1800879356171197,1.260341483617461e-16
openai,EX05,surface,0.5,10,30,2.224976402858111,2.246796477544908,0.2567548496817967,0.2828268381998016,1.0,0.5961475705156283,1.0,0.127114533815502,7.98371091539855e-16
openai,EX05,surface,0.5,15,30,2.901281354023024,2.924850113027589,0.2594288650761714,0.2563627000834639,1.0,0.4733923820788379,1.0,0.0883618886972067,1.377599205643551e-15
openai,EX05,surface,0.5,20,30,3.696283768310304,3.706731220995886,0.2546682955811084,0.2444015631485562,1.0,0.3290925791490477,1.0,0.0661208874826946,8.410134783486862e-16
openai,EX05,surface,0.5,25,30,4.590065539835425,4.604032749254438,0.2572636491227871,0.2366704641370762,1.0,0.1668634699344074,1.0,0.051561456385122,1.9350016072580317e-15
openai,EX05,surface,0.5,30,30,5.509379764531572,5.516415046574594,0.2242181311143588,0.2302622060574077,1.0,0.0,1.0,0.0417945786819408,1.773332577216531e-15
openai,EX05,surface,0.75,3,30,1.4897756386751255,1.5066607830333243,0.2441540223388793,0.6476406774878241,0.986,0.848343526918943,0.986,0.4347236326563765,1.4904566779095549e-16
openai,EX05,surface,0.75,5,30,2.143994609644375,2.1594294326036203,0.3223631865259214,0.5507558477425171,1.0,0.7817452156133902,1.0,0.2568830375155985,2.071316820725234e-16
openai,EX05,surface,0.75,7,30,2.792249131687557,2.796151652509669,0.3747829269671421,0.5028503818543071,1.0,0.7157540744511242,1.0,0.1800879356171197,0.0
openai,EX05,surface,0.75,10,30,3.674774006908812,3.674649263735695,0.4083582660075103,0.4671171847655382,1.0,0.6259146338616798,1.0,0.127114533815502,4.833921313421139e-16
openai,EX05,surface,0.75,15,30,4.9173773523725846,4.943104689658546,0.4454266219603098,0.4345087502925118,1.0,0.4994198544334514,1.0,0.0883618886972067,1.2643424517545145e-15
openai,EX05,surface,0.75,20,30,6.427144297439041,6.427070908521109,0.4243201117698819,0.4249684849260094,1.0,0.3457283024177648,1.0,0.0661208874826946,9.673423608021686e-16
openai,EX05,surface,0.75,25,30,8.070223651385536,8.089711799045245,0.4088085807918985,0.4161124848190961,1.0,0.1784657876182686,1.0,0.051561456385122,1.760899738232436e-15
openai,EX05,surface,0.75,30,30,9.823356751009722,9.836075612936096,0.3304341006627834,0.4105630566508511,1.0,0.0,1.0,0.0417945786819408,2.169959069297972e-15
openai,EX05,surface,1.0,3,30,1.753162912731284,1.756180412067926,0.2104545497632406,0.7621413500609777,1.0,0.8541694936309244,1.0,0.4347236326563765,0.0
openai,EX05,surface,1.0,5,30,2.5084530073432765,2.5166840319897945,0.2563252496879172,0.644379027991479,1.0,0.7913434230170885,1.0,0.2568830375155985,3.5407417125218637e-16
openai,EX05,surface,1.0,7,30,3.3157606612135506,3.3197783061593094,0.2873639570687593,0.5971284924784042,1.0,0.7241904601608765,1.0,0.1800879356171197,0.0
openai,EX05,surface,1.0,10,30,4.41361387715547,4.421458970123162,0.3223353550000672,0.5610344704362482,1.0,0.632869517174292,1.0,0.127114533815502,6.037082837925193e-16
openai,EX05,surface,1.0,15,30,6.0374502091079885,6.041753228424448,0.3335479986860322,0.5334805033921279,1.0,0.4977965739643449,1.0,0.0883618886972067,1.0297805733489359e-15
openai,EX05,surface,1.0,20,30,7.8304361156701,7.837389832366549,0.3253598461239852,0.5177553853446513,1.0,0.3486535361052924,1.0,0.0661208874826946,9.074114458812549e-16
openai,EX05,surface,1.0,25,30,9.860521104840622,9.863403948869438,0.3091354700805872,0.5084228288818156,1.0,0.1797882699094786,1.0,0.051561456385122,1.6213353619570859e-15
openai,EX05,surface,1.0,30,30,12.021921588164048,12.043362160893636,0.2589781263595516,0.5024511477246462,1.0,0.0,1.0,0.0417945786819408,2.2163971371462716e-15
openai,SU01,semantic,0.25,3,30,0.9581402188507734,1.0077372063838737,0.4209585110998883,0.5055182986787886,0.452,0.8360289149022879,0.452,0.5276036729625282,0.0
openai,SU01,semantic,0.25,5,30,1.254015077468289,1.320628043234495,0.5137912150515889,0.4235477978189618,0.687,0.7853944454727125,0.687,0.3377533535514228,1.770669339744412e-16
openai,SU01,semantic,0.25,7,30,1.627650503300118,1.7184009561632057,0.6372657541142215,0.384316607257555,0.875,0.7214524409526698,0.875,0.2361174014190022,1.3642032148475864e-16
openai,SU01,semantic,0.25,10,30,2.186367868035682,2.2494317707618494,0.7032691807661381,0.3581532164996109,0.992,0.6258364854211204,0.992,0.1638119649194212,0.0
openai,SU01,semantic,0.25,15,30,3.2509874585042797,3.312292471204747,0.8441650632302581,0.3468437280810702,1.0,0.4436430798726096,1.0,0.1066887315033343,1.366013297554768e-16
openai,SU01,semantic,0.25,20,30,4.22724864737987,4.323655188965886,0.9046311029018744,0.3309029035721352,1.0,0.2765708671324775,1.0,0.0782785521209487,4.202158395629911e-16
openai,SU01,semantic,0.25,25,30,5.007765375077455,5.0911660103583,0.8641477427676079,0.3304949432084216,1.0,0.1429973334684855,1.0,0.0659964911401844,3.547204603955263e-16
openai,SU01,semantic,0.25,30,30,5.84334865064659,5.880154916013883,0.7605575940563014,0.3257078838465936,1.0,0.0,1.0,0.0557399366903347,0.0
openai,SU01,semantic,0.5,3,30,1.740842065256543,1.7677754687350462,0.2431099290993579,0.9184746676770252,1.0,0.8695447506852303,1.0,0.5276036729625282,1.2755011460060808e-16
openai,SU01,semantic,0.5,5,30,2.478347012346565,2.529843468407709,0.2952310257325644,0.8370700146842016,1.0,0.8142775936790454,1.0,0.3377533535514228,1.791876632439729e-16
openai,SU01,semantic,0.5,7,30,3.433278364774627,3.467490558318754,0.3598139243617624,0.8106567658386662,1.0,0.7427169333838022,1.0,0.2361174014190022,1.2934844270316376e-16
