provider,scenario_id,perturbation_family,lambda,mmd2_previous,rho_previous,theta_previous,exceedance_previous,mmd2_current,rho_current,theta_current,exceedance_current,previous_n,current_n,transition,relative_change_mmd2,relative_change_theta,relative_change_rho,signed_change_mmd2,signed_change_theta,signed_change_rho,absolute_change_exceedance_rate,theta_decreased,mmd2_increased,rho_increased
qwen,CP04,context_removal,0.25,0.8380284230537769,3.0037516620832827,0.2789939107258133,1.0,0.7808639421369963,4.0312361763526185,0.1937033475531831,1.0,5,7,5->7,0.07320671096726293,0.44031538045160973,0.2548807535258287,-0.07320671096726293,-0.44031538045160973,0.2548807535258287,0.0,True,False,True
qwen,CP04,context_removal,0.5,1.4204214755670217,5.091227517732342,0.2789939107258133,1.0,1.3824505232958444,7.136946990119926,0.1937033475531831,1.0,5,7,5->7,0.027466409561372435,0.44031538045160973,0.2866378964590303,-0.027466409561372435,-0.44031538045160973,0.2866378964590303,0.0,True,False,True
qwen,CP04,context_removal,0.75,1.2025355804033238,4.310257443522266,0.2789939107258133,1.0,1.1501318233678353,5.937593944018213,0.1937033475531831,1.0,5,7,5->7,0.045563261506875744,0.44031538045160973,0.2740733899689108,-0.045563261506875744,-0.44031538045160973,0.2740733899689108,0.0,True,False,True
qwen,CP04,context_removal,1.0,1.0693212625528,3.832776349028263,0.2789939107258133,1.0,1.0057797982135463,5.192371793871036,0.1937033475531831,1.0,5,7,5->7,0.06317631796951492,0.44031538045160973,0.26184477899822395,-0.06317631796951492,-0.44031538045160973,0.26184477899822395,0.0,True,False,True
qwen,CP04,surface,0.25,1.0944910619507675,3.922992652790905,0.2789939107258133,1.0,1.0381121584611248,5.359288683310448,0.1937033475531831,1.0,5,7,5->7,0.05430906769574645,0.44031538045160973,0.2680012433352141,-0.05430906769574645,-0.44031538045160973,0.2680012433352141,0.0,True,False,True
qwen,CP04,surface,0.5,0.7612108574766762,2.7284138764762176,0.2789939107258133,1.0,0.710648979823411,3.668749088749205,0.1937033475531831,1.0,5,7,5->7,0.07114887812240193,0.44031538045160973,0.2563094911986957,-0.07114887812240193,-0.44031538045160973,0.2563094911986957,0.0,True,False,True
qwen,CP04,surface,0.75,0.914044291667591,3.2762159191563347,0.2789939107258133,1.0,0.8599678292283599,4.439612634945544,0.1937033475531831,1.0,5,7,5->7,0.06288195976790595,0.44031538045160973,0.26204914965593146,-0.06288195976790595,-0.44031538045160973,0.26204914965593146,0.0,True,False,True
qwen,CP04,surface,1.0,1.2571398029415497,4.505975774421214,0.2789939107258133,1.0,1.199451758411871,6.192209755603473,0.1937033475531831,1.0,5,7,5->7,0.04809534366439248,0.44031538045160973,0.27231538460988786,-0.04809534366439248,-0.44031538045160973,0.27231538460988786,0.0,True,False,True
qwen,CP05,semantic,0.25,0.9774644526474282,3.0028243856911527,0.3255150242235853,1.0,0.8915131169110802,3.8696432759047608,0.2303863827609886,1.0,5,7,5->7,0.09641062381017201,0.4129091325735457,0.22400485740147125,-0.09641062381017201,-0.4129091325735457,0.22400485740147125,0.0,True,False,True
qwen,CP05,semantic,0.5,0.9636987748662104,2.960535468876785,0.3255150242235853,1.0,0.8836357618887407,3.8354513461216895,0.2303863827609886,1.0,5,7,5->7,0.09060635210863098,0.4129091325735457,0.2281128864089482,-0.09060635210863098,-0.4129091325735457,0.2281128864089482,0.0,True,False,True
qwen,CP05,semantic,0.75,1.0161081524612612,3.12153995006796,0.3255150242235853,1.0,0.9504468338631946,4.125447096624732,0.2303863827609886,1.0,5,7,5->7,0.06908468339168325,0.4129091325735457,0.24334505401320655,-0.06908468339168325,-0.4129091325735457,0.24334505401320655,0.0,True,False,True
qwen,CP05,semantic,1.0,1.0716731984636865,3.292238817608585,0.3255150242235853,1.0,0.9892367937358404,4.293816248515483,0.2303863827609886,1.0,5,7,5->7,0.08333333864031282,0.4129091325735457,0.23326043149917683,-0.08333333864031282,-0.4129091325735457,0.23326043149917683,0.0,True,False,True
